CustomerID,Country,Revenue,Orders,Average line amount
12901,United Kingdom,17654.54,28,152.19
12678,France,17628.46,12,106.84
14031,United Kingdom,17286.86,19,69.15
17428,United Kingdom,17256.85,28,52.61
13767,United Kingdom,17220.36,37,46.79
13881,United Kingdom,17159.52,20,96.4
16839,United Kingdom,16594.35,34,62.38
12921,United Kingdom,16587.09,37,23.04
14607,United Kingdom,16569.5,14,192.67
15856,United Kingdom,16387.57,27,25.41
17677,United Kingdom,16363.23,30,53.83
15189,United Kingdom,16225.39,41,76.53
14051,United Kingdom,15610.39,23,74.34
15513,United Kingdom,14758.22,19,47.92
16133,United Kingdom,14589.04,33,43.16
14866,United Kingdom,14389.9,12,145.35
16705,United Kingdom,14034.99,20,51.98
12681,France,13787.54,22,21.61
12621,Germany,13689.67,20,29.31
12540,Spain,13400.24,17,28.03
12433,Norway,13375.87,7,31.85
15498,United Kingdom,13316.4,27,26.01
12477,Germany,13219.74,6,44.07
17735,United Kingdom,13110.02,19,19.0
16525,United Kingdom,13027.45,26,71.19
14258,United Kingdom,12669.98,9,114.14
13078,United Kingdom,12627.94,26,35.27
12536,France,12601.83,3,48.28
15640,United Kingdom,12515.66,15,25.86
16000,United Kingdom,12393.7,3,1377.08
17340,United Kingdom,12353.29,11,30.35
12682,France,12288.22,31,23.41
13113,United Kingdom,12245.96,24,61.23
14606,United Kingdom,12156.65,93,4.5
12557,Spain,11990.96,5,363.36
12939,United Kingdom,11581.8,8,246.42
15125,United Kingdom,11528.48,15,90.78
14194,United Kingdom,11349.52,21,19.6
12971,United Kingdom,11189.91,86,36.69
14895,United Kingdom,11138.71,20,22.37
12409,Switzerland,11072.67,3,101.58
15482,United Kingdom,11054.96,12,112.81
17581,United Kingdom,11045.04,25,25.1
13319,United Kingdom,10845.55,26,22.78
17107,United Kingdom,10815.43,6,25.87
13340,United Kingdom,10736.48,7,80.12
14769,United Kingdom,10674.75,8,9.79
17139,United Kingdom,10668.47,12,22.32
16779,United Kingdom,10629.72,22,31.92
17865,United Kingdom,10526.32,20,28.45
17706,United Kingdom,10504.49,17,27.5
15251,United Kingdom,10484.99,11,94.46
14062,United Kingdom,10464.85,12,94.28
15615,United Kingdom,10399.74,23,24.59
15502,United Kingdom,10384.93,12,48.76
16180,United Kingdom,10254.18,8,63.3
16843,United Kingdom,10196.57,16,26.98
12590,Germany,9864.26,2,145.06
13001,United Kingdom,9818.82,13,28.96
13199,United Kingdom,9817.12,38,82.5
15078,United Kingdom,9743.11,32,22.14
12709,Germany,9736.52,15,46.81
13458,United Kingdom,9646.57,14,25.25
14733,United Kingdom,9585.91,12,47.46
16523,United Kingdom,9418.47,21,32.48
12567,France,9401.28,10,21.08
14367,United Kingdom,9261.52,16,17.67
14667,United Kingdom,9241.2,25,16.13
18092,United Kingdom,9068.26,11,101.89
13969,United Kingdom,9053.94,18,14.46
12451,Switzerland,9035.52,5,25.52
13488,United Kingdom,8968.31,13,21.25
13090,United Kingdom,8910.82,14,57.49
16033,United Kingdom,8816.4,20,7.75
17017,United Kingdom,8694.26,20,34.5
17243,United Kingdom,8676.85,26,21.69
17306,United Kingdom,8631.31,19,130.78
16656,United Kingdom,8625.8,15,118.16
14527,United Kingdom,8508.82,55,8.75
12683,France,8476.57,15,24.64
18139,United Kingdom,8438.34,6,53.07
15358,United Kingdom,8347.2,22,15.15
16558,United Kingdom,8338.49,20,18.13
14056,United Kingdom,8214.65,23,7.43
14936,Channel Islands,8137.02,8,22.35
16672,United Kingdom,8134.94,20,71.36
13854,United Kingdom,8109.52,25,73.72
14952,United Kingdom,8099.49,11,58.69
18109,United Kingdom,8052.97,26,18.14
14796,United Kingdom,8022.49,17,7.03
12428,Finland,7956.46,9,27.06
15290,United Kingdom,7943.22,18,38.94
14849,United Kingdom,7930.54,25,20.44
12757,Portugal,7857.1,13,21.18
17811,United Kingdom,7837.73,39,9.21
13093,United Kingdom,7832.47,8,49.26
12435,Denmark,7829.89,2,217.5
13629,United Kingdom,7792.36,11,132.07
15044,United Kingdom,7700.23,17,17.0
15194,United Kingdom,7616.53,15,24.57
18172,United Kingdom,7561.68,20,40.01
13263,United Kingdom,7454.07,35,4.44
12474,Germany,7375.79,18,17.4
12980,United Kingdom,7374.9,9,368.75
15465,United Kingdom,7354.62,18,75.82
17396,United Kingdom,7330.8,8,271.51
12583,France,7281.38,15,29.48
13018,United Kingdom,7277.7,28,15.89
18229,United Kingdom,7276.9,20,44.37
16923,United Kingdom,7247.61,19,10.79
16729,United Kingdom,7239.92,21,10.97
16745,United Kingdom,7194.3,17,20.15
16873,United Kingdom,7123.62,6,25.53
13324,United Kingdom,7121.95,10,94.96
13985,United Kingdom,7060.13,15,20.23
14961,United Kingdom,7044.68,9,22.58
12766,Portugal,6989.63,7,22.55
12798,Japan,6977.04,3,872.13
12989,United Kingdom,6924.11,15,108.19
16713,United Kingdom,6923.13,15,11.09
13027,United Kingdom,6912.0,6,265.85
16187,United Kingdom,6911.44,15,23.43
17416,United Kingdom,6893.42,7,25.63
12705,Germany,6868.29,9,20.56
12476,Germany,6816.42,11,29.26
12830,United Kingdom,6814.64,6,179.33
15023,United Kingdom,6802.76,11,12.1
18055,United Kingdom,6784.19,10,18.84
15601,United Kingdom,6776.56,14,16.53
16652,United Kingdom,6773.97,7,57.41
16532,United Kingdom,6748.8,3,1687.2
13576,United Kingdom,6717.34,18,53.31
16746,United Kingdom,6697.66,18,14.92
15249,United Kingdom,6688.46,13,19.11
16353,United Kingdom,6675.71,23,71.02
17338,United Kingdom,6643.93,8,8.82
12626,Germany,6620.48,9,22.52
16182,United Kingdom,6617.65,4,236.34
15144,United Kingdom,6580.44,17,30.32
12472,Germany,6572.11,7,19.39
16814,United Kingdom,6509.1,21,20.09
18223,United Kingdom,6484.54,14,23.84
15694,United Kingdom,6479.4,14,83.07
13225,United Kingdom,6463.84,7,202.0
13102,United Kingdom,6424.09,24,21.13
13871,United Kingdom,6403.25,13,19.06
12359,Cyprus,6372.58,4,25.7
13668,United Kingdom,6363.59,21,13.54
13709,United Kingdom,6328.05,13,18.83
15005,United Kingdom,6316.57,28,5.64
17315,United Kingdom,6292.26,38,13.3
16126,United Kingdom,6287.77,4,53.74
14057,United Kingdom,6217.96,17,21.89
12357,Switzerland,6207.67,1,47.39
14060,United Kingdom,6140.42,19,30.4
13418,United Kingdom,6127.43,18,20.16
17509,United Kingdom,6115.14,8,16.71
15939,United Kingdom,6115.01,15,80.46
14735,United Kingdom,6065.69,32,31.27
12637,France,6021.9,8,15.44
13097,United Kingdom,6010.42,10,14.21
13316,United Kingdom,5977.73,4,68.71
14101,United Kingdom,5976.79,6,170.77
15382,United Kingdom,5955.71,6,19.72
14505,United Kingdom,5905.64,8,7.39
14415,United Kingdom,5900.28,13,10.0
14944,United Kingdom,5900.25,12,34.71
13209,United Kingdom,5891.61,8,18.35
13534,United Kingdom,5870.08,25,19.83
13050,United Kingdom,5836.86,17,14.48
12720,Germany,5781.73,25,16.33
15218,United Kingdom,5756.89,11,34.68
17686,United Kingdom,5739.46,7,20.07
13178,United Kingdom,5725.47,11,21.61
16553,United Kingdom,5719.82,12,68.09
13468,United Kingdom,5704.97,37,18.89
14110,United Kingdom,5683.15,12,36.67
14049,United Kingdom,5681.72,4,11.64
17049,United Kingdom,5659.98,9,17.8
17716,United Kingdom,5655.99,11,23.09
13004,United Kingdom,5655.91,18,14.0
18118,United Kingdom,5653.82,26,4.42
14688,United Kingdom,5630.87,21,17.22
17757,United Kingdom,5605.29,30,7.56
12481,Germany,5596.32,10,25.79
12839,United Kingdom,5591.42,14,17.81
16767,United Kingdom,5580.6,11,25.14
16161,United Kingdom,5575.56,19,11.76
12539,Spain,5568.35,4,20.4
15805,United Kingdom,5528.48,17,18.37
12431,Australia,5514.67,13,30.47
18225,United Kingdom,5509.12,12,20.33
16609,United Kingdom,5493.46,7,19.9
16985,United Kingdom,5464.12,10,45.53
16265,United Kingdom,5447.0,9,21.11
18198,United Kingdom,5425.56,17,34.12
12490,France,5417.93,10,22.11
17809,United Kingdom,5411.91,12,88.72
16701,United Kingdom,5398.3,13,37.49
17719,United Kingdom,5396.04,15,19.69
17850,United Kingdom,5391.21,34,18.15
16303,United Kingdom,5360.63,3,33.09
13269,United Kingdom,5346.23,15,16.92
15150,United Kingdom,5314.47,10,15.49
17730,United Kingdom,5298.48,13,24.3
17061,United Kingdom,5232.23,11,52.85
18226,United Kingdom,5228.05,11,21.6
12362,Belgium,5226.23,10,19.65
15046,United Kingdom,5213.77,15,25.31
16258,United Kingdom,5203.51,5,38.54
13756,United Kingdom,5189.52,14,36.55
16191,United Kingdom,5180.52,13,38.66
15727,United Kingdom,5178.96,7,17.15
17858,United Kingdom,5155.66,12,25.91
13599,United Kingdom,5153.67,21,20.87
15903,United Kingdom,5126.76,7,69.28
13941,United Kingdom,5112.96,5,113.62
17602,United Kingdom,5102.97,6,9.11
16700,United Kingdom,5076.55,13,16.48
14562,United Kingdom,5074.77,18,12.0
15301,United Kingdom,5070.35,12,20.87
13139,United Kingdom,5064.94,7,29.79
12432,Norway,5059.32,5,46.85
15719,United Kingdom,5045.61,13,5.38
17426,United Kingdom,5037.26,6,18.59
14329,United Kingdom,5014.84,7,19.36
14755,United Kingdom,5010.28,11,21.32
12444,Norway,5005.46,5,28.44
15032,United Kingdom,4959.1,3,95.37
15547,United Kingdom,4954.84,14,7.06
12437,France,4951.41,18,24.88
12700,France,4939.99,4,18.43
15786,United Kingdom,4932.2,3,18.47
14709,United Kingdom,4921.04,13,25.11
17133,United Kingdom,4892.24,7,181.19
12664,Finland,4881.88,9,131.94
12688,Israel,4873.81,1,28.5
14292,United Kingdom,4871.93,9,48.72
17652,United Kingdom,4867.72,12,18.79
15738,United Kingdom,4812.42,16,27.82
13013,United Kingdom,4810.94,13,21.97
15555,United Kingdom,4805.17,16,5.35
17365,United Kingdom,4801.56,8,10.26
15298,United Kingdom,4799.9,12,25.0
15187,United Kingdom,4777.18,16,52.5
17690,United Kingdom,4757.95,15,18.59
12955,United Kingdom,4757.16,11,26.43
14180,United Kingdom,4748.52,25,19.79
15152,United Kingdom,4745.69,13,17.51
16722,United Kingdom,4730.81,13,21.03
12714,France,4708.86,5,18.18
14159,United Kingdom,4693.01,11,3.9
14135,United Kingdom,4690.31,15,35.0
14191,United Kingdom,4684.76,13,18.09
15291,United Kingdom,4668.3,15,45.32
14189,United Kingdom,4654.08,15,17.56
14390,United Kingdom,4652.82,9,16.27
14286,United Kingdom,4628.75,3,16.53
16931,United Kingdom,4604.22,21,5.13
13802,United Kingdom,4599.42,3,76.66
15093,United Kingdom,4597.02,6,42.57
14004,United Kingdom,4582.64,7,26.8
17613,United Kingdom,4559.15,14,14.61
17068,United Kingdom,4552.14,21,15.38
12484,Spain,4541.72,6,13.13
13267,United Kingdom,4521.49,19,21.43
15299,United Kingdom,4507.01,7,643.86
17975,United Kingdom,4488.81,13,15.16
12524,Germany,4485.72,8,31.15
14426,United Kingdom,4481.67,10,20.01
16984,United Kingdom,4481.35,2,11.01
17364,United Kingdom,4481.18,11,10.9
12627,Germany,4478.53,7,19.47
14085,United Kingdom,4448.54,18,9.89
14534,United Kingdom,4447.05,18,8.57
13069,United Kingdom,4436.12,24,10.44
15955,United Kingdom,4416.26,14,24.13
16626,United Kingdom,4413.1,17,24.65
15874,United Kingdom,4405.88,7,36.72
12712,Germany,4396.13,13,33.05
13505,Switzerland,4393.63,4,20.44
12752,Norway,4366.78,1,82.39
16945,United Kingdom,4345.5,19,17.45
14016,EIRE,4341.21,4,26.96
14800,United Kingdom,4339.74,12,11.27
14525,United Kingdom,4332.2,9,14.89
17567,United Kingdom,4331.48,8,26.25
18251,United Kingdom,4314.72,1,269.67
12347,Iceland,4310.0,7,23.68
15034,United Kingdom,4308.61,8,10.94
17937,United Kingdom,4301.22,7,100.03
14422,United Kingdom,4263.64,6,19.21
12500,Germany,4257.82,11,69.8
17419,United Kingdom,4226.57,12,20.52
14277,France,4216.2,3,18.74
15804,United Kingdom,4206.39,13,16.05
17920,United Kingdom,4204.1,17,6.04
15971,United Kingdom,4199.85,12,120.0
12747,United Kingdom,4196.01,11,40.74
14146,United Kingdom,4191.0,5,19.96
18041,United Kingdom,4183.39,21,8.86
12949,United Kingdom,4167.22,8,19.38
15570,United Kingdom,4165.52,12,12.9
16549,United Kingdom,4154.64,10,4.24
13384,United Kingdom,4151.93,7,27.32
13555,United Kingdom,4149.28,4,30.51
13988,United Kingdom,4147.96,6,17.73
15514,United Kingdom,4139.46,11,23.26
12569,Germany,4124.69,32,21.94
16592,United Kingdom,4113.68,16,19.04
17940,United Kingdom,4106.44,10,216.13
17377,United Kingdom,4100.92,20,9.81
16401,United Kingdom,4098.32,12,22.03
16670,United Kingdom,4095.9,11,16.25
12749,United Kingdom,4090.88,5,20.56
14092,United Kingdom,4076.91,14,19.05
12449,Belgium,4067.29,4,21.29
18087,United Kingdom,4055.72,2,2027.86
14401,United Kingdom,4051.48,13,22.26
12656,France,4051.17,5,32.15
12867,United Kingdom,4036.82,7,7.5
13815,Germany,4027.36,4,22.88
12841,United Kingdom,4022.35,25,9.58
12957,United Kingdom,4017.54,8,16.88
12378,Switzerland,4008.62,1,18.3
14547,United Kingdom,4007.54,8,10.95
16186,United Kingdom,4006.94,12,18.38
17769,United Kingdom,3997.98,10,12.9
15529,United Kingdom,3995.23,11,5.95
17001,United Kingdom,3989.57,11,23.61
15416,United Kingdom,3984.32,4,20.75
17611,United Kingdom,3984.22,15,6.92
12779,Poland,3981.36,8,26.72
12727,France,3980.7,7,28.64
14299,United Kingdom,3965.62,9,27.73
13523,United Kingdom,3964.88,5,23.05
13183,United Kingdom,3957.78,9,42.1
17651,United Kingdom,3945.0,10,17.0
12473,Germany,3938.55,5,23.44
17593,United Kingdom,3927.34,5,18.44
14739,United Kingdom,3902.28,7,65.04
13999,United Kingdom,3901.81,12,18.76
14291,United Kingdom,3883.25,11,16.39
18073,United Kingdom,3877.52,12,53.12
13124,United Kingdom,3866.33,3,16.45
15195,United Kingdom,3861.0,1,3861.0
16717,United Kingdom,3858.38,6,19.39
12662,Germany,3849.78,11,16.74
16327,United Kingdom,3844.22,6,12.05
13266,United Kingdom,3834.26,12,20.5
17091,United Kingdom,3827.76,9,19.63
15867,United Kingdom,3812.64,15,8.27
12755,Japan,3811.95,2,952.99
12597,Spain,3811.22,4,18.5
13435,United Kingdom,3809.89,7,37.72
12668,Germany,3807.15,4,23.65
16145,United Kingdom,3799.49,11,16.96
16655,United Kingdom,3794.52,6,14.54
16168,United Kingdom,3787.6,27,38.65
16019,United Kingdom,3786.24,9,23.66
12562,France,3781.74,7,22.51
17173,United Kingdom,3766.6,8,43.8
16904,United Kingdom,3754.27,16,5.29
17238,United Kingdom,3744.65,17,6.62
14145,United Kingdom,3742.2,4,340.2
13552,United Kingdom,3740.07,12,34.31
16570,United Kingdom,3738.4,10,29.67
15808,United Kingdom,3734.97,4,17.96
14282,United Kingdom,3729.34,15,23.91
12502,Spain,3723.87,5,25.33
12647,Germany,3722.82,12,30.77
13680,United Kingdom,3722.42,4,19.09
16240,United Kingdom,3718.8,2,27.55
14364,United Kingdom,3717.35,8,53.87
15845,United Kingdom,3711.77,8,26.9
15622,United Kingdom,3709.56,9,20.05
13148,United Kingdom,3707.12,12,11.62
17819,United Kingdom,3704.87,7,77.18
15379,United Kingdom,3703.29,7,19.09
12553,France,3692.28,10,19.33
16253,United Kingdom,3683.86,2,29.95
15581,United Kingdom,3679.97,13,24.7
15296,United Kingdom,3672.86,6,18.93
18079,United Kingdom,3651.97,4,28.76
13137,United Kingdom,3650.41,8,5.19
16712,United Kingdom,3645.43,11,8.16
13426,United Kingdom,3641.32,10,23.19
12619,Germany,3641.24,9,40.46
16440,United Kingdom,3640.67,5,12.91
13381,United Kingdom,3639.31,6,21.16
17230,United Kingdom,3638.41,8,52.73
14543,United Kingdom,3630.33,16,50.42
17528,United Kingdom,3628.5,8,14.34
13327,United Kingdom,3627.77,8,33.59
13520,Switzerland,3624.35,6,38.97
17576,United Kingdom,3622.68,19,8.81
14040,United Kingdom,3614.92,12,15.38
13082,United Kingdom,3613.63,9,49.5
15505,United Kingdom,3610.96,5,37.23
15113,United Kingdom,3609.33,3,36.09
16242,United Kingdom,3603.21,7,12.26
15484,United Kingdom,3594.31,4,19.12
14132,United Kingdom,3586.03,11,17.93
17203,United Kingdom,3563.85,6,23.45
17491,United Kingdom,3558.87,10,32.65
15544,United Kingdom,3546.71,9,13.69
14503,United Kingdom,3543.26,6,21.61
13448,United Kingdom,3539.37,6,18.15
13334,United Kingdom,3536.82,3,13.2
12454,Spain,3528.34,1,235.22
17160,United Kingdom,3518.03,6,15.36
13953,United Kingdom,3515.68,7,175.78
16360,United Kingdom,3512.53,6,5.31
14395,United Kingdom,3507.71,9,10.02
16131,United Kingdom,3506.54,6,44.96
14907,United Kingdom,3501.1,7,21.22
16458,United Kingdom,3482.74,18,17.24
13993,United Kingdom,3466.36,9,28.65
13014,United Kingdom,3466.28,10,31.8
17758,United Kingdom,3456.7,8,8.39
15410,United Kingdom,3450.84,8,28.29
13536,United Kingdom,3448.29,7,19.26
15129,United Kingdom,3447.4,11,41.04
15974,United Kingdom,3442.15,7,19.56
17725,United Kingdom,3439.08,11,17.91
15676,United Kingdom,3435.76,3,17.01
14221,United Kingdom,3432.8,9,17.79
12406,Denmark,3415.3,2,32.53
15981,United Kingdom,3408.48,8,35.14
13437,United Kingdom,3408.06,7,20.41
17669,United Kingdom,3406.72,7,50.1
13198,United Kingdom,3401.24,6,15.05
15228,United Kingdom,3386.71,4,27.09
13842,United Kingdom,3385.62,9,16.44
15708,United Kingdom,3364.24,7,11.68
16011,United Kingdom,3362.71,16,15.86
14227,United Kingdom,3350.96,10,19.15
16818,United Kingdom,3349.57,11,17.82
16607,United Kingdom,3347.71,14,19.46
17183,United Kingdom,3347.31,6,45.85
13015,United Kingdom,3346.28,5,19.01
12643,France,3344.64,6,139.36
12613,Germany,3344.38,5,21.86
12594,Italy,3338.22,10,28.29
16556,United Kingdom,3313.79,7,16.01
12429,Denmark,3312.42,3,43.58
13373,United Kingdom,3312.25,3,20.96
14841,United Kingdom,3295.76,6,23.88
14702,United Kingdom,3292.14,17,9.49
15632,United Kingdom,3285.31,8,19.67
12480,Germany,3281.63,4,21.31
15764,United Kingdom,3279.97,6,18.22
17723,United Kingdom,3276.4,6,327.64
12370,Cyprus,3268.49,3,20.56
13952,United Kingdom,3251.07,2,23.73
13047,United Kingdom,3237.54,10,18.82
15443,United Kingdom,3236.91,7,8.47
17050,United Kingdom,3228.84,6,10.22
14175,United Kingdom,3222.3,3,21.63
13880,United Kingdom,3219.77,13,19.51
13268,United Kingdom,3214.69,11,7.31
14388,United Kingdom,3212.84,8,17.27
12417,Belgium,3212.8,8,19.01
16107,United Kingdom,3204.16,7,103.36
17220,United Kingdom,3198.25,14,6.78
13868,United Kingdom,3192.54,2,96.74
17685,United Kingdom,3191.53,7,24.55
13758,United Kingdom,3190.55,7,27.27
14844,United Kingdom,3189.81,4,24.54
12456,Switzerland,3181.04,3,25.45
17672,United Kingdom,3178.17,2,28.89
17231,United Kingdom,3174.32,10,5.87
16837,United Kingdom,3170.98,11,19.22
16041,United Kingdom,3166.4,3,527.73
15861,United Kingdom,3165.36,8,5.8
17863,United Kingdom,3160.0,6,21.35
15065,United Kingdom,3158.13,4,20.38
14235,United Kingdom,3144.86,5,39.81
13742,United Kingdom,3131.02,12,9.75
16156,United Kingdom,3122.04,9,24.02
13685,United Kingdom,3119.44,7,79.99
16326,United Kingdom,3110.96,14,9.75
16678,United Kingdom,3109.99,12,19.08
13869,United Kingdom,3104.95,4,10.11
14099,United Kingdom,3104.17,11,12.42
16905,United Kingdom,3102.43,7,14.92
15491,United Kingdom,3100.09,6,20.13
14257,United Kingdom,3099.72,5,29.24
14565,United Kingdom,3099.12,4,24.4
13135,United Kingdom,3096.0,1,3096.0
17059,United Kingdom,3095.04,5,6.0
13362,United Kingdom,3090.74,4,18.62
15998,United Kingdom,3089.97,5,6.11
16218,United Kingdom,3084.68,7,36.72
18272,United Kingdom,3078.58,6,18.55
12910,United Kingdom,3075.04,8,41.0
13631,United Kingdom,3070.42,11,279.13
16686,United Kingdom,3062.83,7,5.24
14456,United Kingdom,3062.4,9,3.16
17799,United Kingdom,3055.93,10,7.49
16940,United Kingdom,3049.88,3,10.0
16393,United Kingdom,3046.21,13,9.23
16709,United Kingdom,3029.87,5,38.35
12598,France,3023.08,8,22.9
12395,Belgium,3018.63,12,19.35
18094,United Kingdom,3017.3,7,43.1
12754,Japan,3010.74,3,47.79
12916,United Kingdom,3006.15,4,28.09
15521,United Kingdom,3000.2,8,16.22
17659,United Kingdom,2999.46,12,18.98
17504,United Kingdom,2997.03,9,23.6
12670,France,2996.05,5,32.57
14307,United Kingdom,2995.72,6,16.64
15687,United Kingdom,2993.1,9,18.03
14639,United Kingdom,2984.49,6,17.35
13451,United Kingdom,2976.15,5,6.72
14032,United Kingdom,2975.59,11,20.81
15854,United Kingdom,2974.65,12,21.25
16497,United Kingdom,2965.69,6,21.81
17924,United Kingdom,2962.5,7,95.56
14868,United Kingdom,2953.59,8,20.51
17084,United Kingdom,2949.75,2,18.21
17444,Canada,2940.04,3,21.78
16316,United Kingdom,2938.91,8,19.46
14530,United Kingdom,2925.91,6,13.55
17512,United Kingdom,2924.99,10,27.86
15606,United Kingdom,2920.16,9,37.92
12906,United Kingdom,2919.81,5,46.35
14112,United Kingdom,2915.15,7,18.22
12438,Norway,2906.85,2,29.66
17644,United Kingdom,2895.64,11,18.44
18144,United Kingdom,2888.75,12,67.18
12408,Belgium,2888.55,5,27.51
13735,United Kingdom,2885.24,4,14.72
16633,United Kingdom,2883.1,6,18.97
15673,United Kingdom,2881.02,4,18.59
14251,United Kingdom,2879.7,5,36.92
17728,United Kingdom,2876.01,3,17.43
14005,United Kingdom,2874.72,5,34.22
15628,United Kingdom,2870.24,9,18.52
14711,United Kingdom,2868.8,11,8.04
13901,United Kingdom,2867.2,5,19.24
14535,United Kingdom,2864.19,3,8.68
12685,France,2863.08,6,18.24
18145,United Kingdom,2861.55,4,12.95
16928,United Kingdom,2847.6,17,13.62
15984,United Kingdom,2837.67,10,10.51
14852,United Kingdom,2836.69,6,19.84
14572,United Kingdom,2832.84,7,10.49
17596,United Kingdom,2827.93,7,10.47
14842,United Kingdom,2824.69,4,19.48
13174,United Kingdom,2817.03,3,8.97
16871,United Kingdom,2812.34,6,20.53
12356,Portugal,2811.43,3,47.65
14903,United Kingdom,2810.63,5,7.92
18230,United Kingdom,2810.2,7,32.68
13230,United Kingdom,2806.97,14,4.59
16081,United Kingdom,2806.9,5,12.37
16764,United Kingdom,2799.25,13,3.96
15993,United Kingdom,2797.57,7,5.07
13769,United Kingdom,2796.51,10,20.71
12578,Italy,2794.51,2,24.51
12758,Portugal,2791.59,2,28.78
17739,United Kingdom,2791.35,7,59.39
14626,United Kingdom,2791.27,4,22.88
17213,United Kingdom,2781.23,7,17.71
12388,Australia,2780.66,6,27.81
14121,United Kingdom,2780.15,4,17.49
17838,United Kingdom,2779.3,5,22.97
13870,United Kingdom,2770.94,8,24.1
15356,United Kingdom,2766.5,10,5.33
15114,United Kingdom,2760.56,10,14.01
14854,United Kingdom,2759.83,7,21.73
13971,United Kingdom,2758.26,8,18.51
15321,United Kingdom,2748.31,3,28.93
12669,France,2744.03,3,27.17
14808,United Kingdom,2741.17,8,11.66
14125,United Kingdom,2740.43,3,16.41
15696,United Kingdom,2736.46,8,16.0
16938,United Kingdom,2736.38,4,11.35
16003,United Kingdom,2735.37,5,26.56
12840,United Kingdom,2726.77,4,24.13
12380,Belgium,2724.81,4,26.2
12708,Germany,2712.91,10,17.28
15796,United Kingdom,2711.56,8,20.39
17069,United Kingdom,2709.7,9,18.95
13285,United Kingdom,2709.12,4,14.49
13654,United Kingdom,2707.33,6,16.31
14107,United Kingdom,2703.23,7,21.98
14732,United Kingdom,2702.49,8,18.38
18097,United Kingdom,2697.8,6,24.98
17386,United Kingdom,2686.42,6,95.94
12625,Germany,2683.82,2,31.21
17346,United Kingdom,2676.56,15,5.35
13883,United Kingdom,2674.48,5,18.83
14713,United Kingdom,2666.36,11,7.87
12360,Austria,2662.06,3,20.64
14439,Greece,2661.24,1,83.16
15671,United Kingdom,2657.13,7,34.07
12721,France,2656.13,6,16.5
13851,United Kingdom,2651.46,3,32.73
16618,United Kingdom,2647.59,5,27.58
18260,United Kingdom,2643.2,6,19.73
13658,United Kingdom,2639.17,5,24.44
17655,United Kingdom,2638.94,7,29.0
15752,United Kingdom,2637.38,7,6.42
13804,United Kingdom,2635.79,7,19.24
13771,United Kingdom,2634.45,4,22.14
12520,Germany,2634.26,5,17.33
17402,United Kingdom,2633.85,13,44.64
18077,United Kingdom,2633.01,11,11.6
13422,United Kingdom,2626.3,1,20.68
13644,United Kingdom,2624.26,4,17.97
17965,United Kingdom,2622.57,14,7.97
18210,United Kingdom,2621.38,6,19.56
16255,United Kingdom,2619.91,8,9.7
14262,United Kingdom,2618.23,8,18.31
13021,United Kingdom,2616.38,9,19.97
15782,United Kingdom,2614.74,3,60.81
14397,United Kingdom,2612.96,19,30.03
12836,United Kingdom,2612.86,4,14.93
18075,United Kingdom,2611.75,10,18.39
12726,France,2609.1,7,21.04
16241,United Kingdom,2607.87,13,3.94
13136,United Kingdom,2607.61,5,20.53
14408,United Kingdom,2606.53,7,24.36
13983,United Kingdom,2603.43,12,24.33
17317,United Kingdom,2600.34,3,288.93
12600,Germany,2599.04,10,40.61
16919,United Kingdom,2596.45,11,7.94
13895,United Kingdom,2593.07,4,21.98
14243,United Kingdom,2588.77,10,18.36
15033,United Kingdom,2586.67,10,5.07
